iter	RMSE
0	39874407.15
1	36947506.3
2	34293566.73
3	31923413.95
4	29758863.76
5	27888815.12
6	26275866.45
7	24780580.4
8	23520894.92
9	22365203.7
10	21348278.91
11	20350817.24
12	19539460.41
13	18785462.36
14	18154643.62
15	17573986.3
16	16993098.53
17	16522528.35
18	16129766.7
19	15738876.07
20	15416674.37
21	15077003.5
22	14824127.97
23	14575844.97
24	14363480
25	14136515.39
26	13952724.08
27	13801555.57
28	13631572.43
29	13500092.38
30	13370057.92
31	13221267
32	13083269.46
33	12981759.23
34	12880642.21
35	12782367.37
36	12691656.55
37	12620659.67
38	12547124.02
39	12475881.25
40	12406437.05
41	12351451.86
42	12280986.7
43	12210380.99
44	12151029.05
45	12102988.95
46	12055797.53
47	12014318.02
48	11977885.52
49	11931931.34
50	11888725.14
51	11846981.72
52	11805676.9
53	11767320.98
54	11736925.76
55	11697936.17
56	11667639.85
57	11640606.2
58	11607788.63
59	11566420.13
60	11544758.26
61	11522610.85
62	11488198.19
63	11452947.11
64	11428813.87
65	11397727.68
66	11368652.77
67	11346243.29
68	11326213.46
69	11304573.76
70	11275154.4
71	11245610.68
72	11230334.33
73	11211504.57
74	11193036.61
75	11168945.18
76	11134957.02
77	11117627.44
78	11098463.07
79	11078878.48
80	11062562.33
81	11034151.61
82	11015238.33
83	10999467.48
84	10967022.69
85	10951900.94
86	10926218.29
87	10908540.09
88	10884129.16
89	10867355.59
90	10847737.61
91	10827481.17
92	10813937.35
93	10794364.27
94	10770248.59
95	10748087.23
96	10733410.45
97	10719513.02
98	10696477.44
99	10678285.41
100	10665103.41
101	10642986.99
102	10616132.67
103	10598277.02
104	10582302.63
105	10571561.17
106	10554125.76
107	10538601.03
108	10515994.92
109	10500355.03
110	10482964.53
111	10470595.56
112	10451421.88
113	10430868.4
114	10409815.27
115	10393723.68
116	10379982.54
117	10367104.83
118	10354489.69
119	10336946.09
120	10323984.24
121	10288910
122	10276892.96
123	10262861.53
124	10247911.6
125	10234867.48
126	10220640.93
127	10205696.85
128	10192116.18
129	10175843.86
130	10161066.54
131	10146695.28
132	10135383.05
133	10124494.65
134	10110894.34
135	10087925.98
136	10062254.42
137	10044066.92
138	10035824.05
139	10021077.99
140	10011775.93
141	9995257.596
142	9979215.044
143	9960362.426
144	9947252.039
145	9923500.317
146	9912828.405
