iter	Passed	Remaining
0	8	25019
1	16	24946
2	23	23513
3	31	23676
4	37	22460
5	46	23030
6	52	22533
7	61	22843
8	66	22233
9	75	22434
10	82	22348
11	88	22090
12	98	22625
13	104	22339
14	111	22260
15	118	22091
16	126	22184
17	132	21972
18	140	22033
19	161	24022
20	172	24483
21	182	24649
22	189	24495
23	195	24258
24	203	24168
25	211	24189
26	219	24147
27	228	24255
28	235	24119
29	242	23965
30	249	23877
31	256	23751
32	264	23805
33	276	24097
34	286	24279
35	295	24330
36	302	24253
37	310	24200
38	316	24066
39	321	23824
40	336	24290
41	343	24219
42	349	24062
43	355	23883
44	363	23863
45	370	23784
46	377	23749
47	382	23550
48	388	23426
49	395	23322
50	400	23173
51	406	23021
52	412	22940
53	418	22812
54	424	22714
55	431	22709
56	437	22613
57	444	22531
58	449	22431
59	456	22348
60	462	22292
61	468	22178
62	476	22209
63	481	22106
64	487	22008
65	493	21955
66	499	21860
67	505	21788
68	511	21736
69	517	21660
70	524	21624
71	530	21559
72	536	21519
73	542	21466
74	548	21386
75	554	21349
76	560	21290
77	566	21230
78	572	21170
79	578	21110
80	584	21061
81	590	21016
82	596	20958
83	602	20928
84	608	20868
85	614	20829
86	621	20819
87	628	20791
88	634	20751
89	640	20701
90	646	20666
91	654	20694
92	661	20677
93	667	20646
94	674	20636
95	681	20611
96	688	20592
97	694	20574
98	701	20551
99	709	20588
100	718	20610
101	725	20618
102	732	20595
103	739	20580
104	745	20549
105	753	20559
106	759	20543
107	766	20534
108	773	20512
109	779	20466
110	785	20449
111	792	20432
112	798	20408
113	805	20393
114	812	20378
115	821	20417
116	828	20405
117	835	20394
118	841	20373
119	852	20469
120	859	20444
121	867	20470
122	874	20454
123	881	20455
124	888	20434
125	895	20425
126	902	20411
127	908	20395
128	916	20401
129	922	20376
130	929	20366
131	937	20363
132	944	20349
133	951	20345
134	957	20323
135	964	20320
136	971	20305
137	979	20318
138	986	20297
139	993	20302
140	1000	20282
141	1007	20287
142	1015	20292
143	1022	20282
144	1030	20295
145	1037	20284
146	1045	20283
147	1052	20273
148	1060	20293
149	1066	20268
150	1073	20251
151	1079	20232
152	1086	20222
153	1093	20210
154	1100	20197
155	1107	20186
156	1114	20175
157	1120	20152
158	1128	20166
159	1136	20170
160	1144	20174
161	1151	20167
162	1159	20175
163	1166	20180
164	1173	20160
165	1179	20133
166	1185	20105
167	1192	20110
168	1200	20107
169	1207	20104
170	1213	20074
171	1219	20059
172	1226	20048
173	1232	20021
174	1239	20005
175	1246	19993
176	1251	19966
177	1258	19950
178	1264	19931
179	1272	19930
180	1278	19906
181	1284	19886
182	1291	19877
183	1296	19846
184	1302	19811
185	1308	19798
186	1314	19776
187	1322	19775
188	1330	19785
189	1339	19816
190	1347	19819
191	1356	19833
192	1361	19808
193	1368	19797
194	1375	19786
195	1381	19757
196	1388	19751
197	1394	19733
198	1400	19714
199	1407	19700
200	1413	19681
201	1420	19679
202	1427	19668
203	1434	19658
204	1442	19665
205	1449	19655
206	1457	19659
207	1463	19645
208	1470	19641
209	1476	19620
210	1483	19609
211	1490	19597
212	1496	19576
213	1503	19568
214	1509	19550
215	1514	19526
216	1522	19523
217	1528	19507
218	1534	19490
219	1541	19484
220	1549	19483
221	1555	19464
222	1562	19461
223	1569	19452
224	1575	19426
225	1581	19410
226	1588	19399
227	1594	19385
228	1601	19380
229	1608	19369
230	1615	19360
231	1621	19348
232	1629	19348
233	1637	19353
234	1644	19354
235	1653	19364
236	1660	19358
237	1667	19352
238	1674	19348
239	1683	19359
240	1691	19364
241	1698	19359
242	1705	19351
243	1712	19338
244	1718	19324
245	1724	19310
246	1732	19308
247	1738	19288
248	1745	19283
249	1753	19284
250	1760	19283
251	1767	19279
252	1773	19260
253	1781	19258
254	1787	19238
255	1793	19222
256	1799	19211
257	1805	19188
258	1812	19182
259	1818	19167
260	1829	19199
261	1836	19196
262	1844	19191
263	1852	19195
264	1858	19178
265	1864	19164
266	1871	19151
267	1877	19143
268	1883	19126
269	1889	19108
270	1895	19092
271	1902	19079
272	1908	19059
273	1915	19052
274	1920	19034
275	1927	19022
276	1933	19010
277	1940	19004
278	1948	19001
279	1955	18997
280	1965	19014
281	1974	19031
282	1981	19026
283	1990	19040
